Date,minor,Adj Close,Close,High,Low,Open,Volume
2007-12-17,USDRUB=X,24.700001,24.700001,24.771,24.669001,24.695999,0.0
2007-12-19,USDRUB=X,24.73,24.73,24.767,24.690001000000002,24.695,0.0
2007-12-20,USDRUB=X,24.778999,24.778999,24.789,24.722,24.729,0.0
2007-12-21,USDRUB=X,24.75,24.75,24.777,24.704,24.774,0.0
2007-12-24,USDRUB=X,24.715,24.715,24.75,24.700001,24.75,0.0
2007-12-25,USDRUB=X,24.714001,24.714001,24.719998999999998,24.702999,24.716,0.0
2007-12-26,USDRUB=X,24.639999,24.639999,24.718,24.618999,24.718,0.0
2007-12-27,USDRUB=X,24.598,24.598,24.667,24.577,24.638,0.0
2007-12-28,USDRUB=X,24.507,24.507,24.618,24.507,24.603001000000003,0.0
2007-12-31,USDRUB=X,24.565001000000002,24.565001000000002,24.565001000000002,24.565001000000002,24.565001000000002,0.0
2008-01-03,USDRUB=X,24.429001,24.429001,24.469,24.406,24.450001,0.0
2008-01-04,USDRUB=X,24.414,24.414,24.469,24.367001000000002,24.427999,0.0
2008-01-07,USDRUB=X,24.415001,24.415001,24.497,24.414,24.414,0.0
2008-01-10,USDRUB=X,24.354,24.354,24.4625,24.337999,24.459,0.0
2008-01-11,USDRUB=X,24.375999,24.375999,24.384001,24.334999,24.351,0.0
2008-01-14,USDRUB=X,24.285999,24.285999,24.375999,24.254998999999998,24.375999,0.0
2008-01-15,USDRUB=X,24.347,24.347,24.368999,24.256001,24.278999,0.0
2008-01-16,USDRUB=X,24.48,24.48,24.500999,24.302999,24.343,0.0
2008-01-17,USDRUB=X,24.5,24.5,24.523001,24.438,24.475,0.0
2008-01-18,USDRUB=X,24.511999,24.511999,24.523001,24.466998999999998,24.508699,0.0
2008-01-21,USDRUB=X,24.771998999999997,24.771998999999997,24.780001000000002,24.525999,24.540001,0.0
2008-01-22,USDRUB=X,24.615999,24.615999,24.905001000000002,24.594998999999998,24.764999,0.0
2008-01-23,USDRUB=X,24.663,24.663,24.754,24.596001,24.617001000000002,0.0
2008-01-24,USDRUB=X,24.450001,24.450001,24.68,24.450001,24.666,0.0
2008-01-25,USDRUB=X,24.489,24.489,24.521,24.426001,24.452999,0.0
2008-01-28,USDRUB=X,24.471001,24.471001,24.596001,24.462,24.489,0.0
2008-01-29,USDRUB=X,24.487,24.487,24.504,24.462999,24.473,0.0
2008-01-30,USDRUB=X,24.434998999999998,24.434998999999998,24.493,24.403999,24.488001,0.0
2008-01-31,USDRUB=X,24.43,24.43,24.473,24.372,24.438,0.0
2008-02-01,USDRUB=X,24.489,24.489,24.489,24.385,24.429001,0.0
2008-02-04,USDRUB=X,24.493999,24.493999,24.511,24.441,24.489,0.0
2008-02-05,USDRUB=X,24.636,24.636,24.639999,24.489,24.489,0.0
2008-02-06,USDRUB=X,24.66,24.66,24.693001000000002,24.615999,24.628,0.0
2008-02-07,USDRUB=X,24.788,24.788,24.804001,24.615999,24.656,0.0
2008-02-08,USDRUB=X,24.740999,24.740999,24.792,24.725,24.778999,0.0
2008-02-11,USDRUB=X,24.691999,24.691999,24.743,24.653,24.740999,0.0
2008-02-12,USDRUB=X,24.618,24.618,24.702999,24.594998999999998,24.697001,0.0
2008-02-13,USDRUB=X,24.681998999999998,24.681998999999998,24.688,24.615999,24.621,0.0
2008-02-14,USDRUB=X,24.615,24.615,24.677,24.604,24.676001,0.0
2008-02-15,USDRUB=X,24.584,24.584,24.620001000000002,24.560301000000003,24.611,0.0
2008-02-18,USDRUB=X,24.584999,24.584999,24.620898999999998,24.559798999999998,24.584,0.0
2008-02-19,USDRUB=X,24.538,24.538,24.587,24.507799,24.587,0.0
2008-02-20,USDRUB=X,24.538,24.538,24.625,24.5329,24.540001,0.0
2008-02-21,USDRUB=X,24.474001,24.474001,24.555,24.459999,24.540001,0.0
2008-02-22,USDRUB=X,24.438,24.438,24.489,24.421,24.462,0.0
2008-02-25,USDRUB=X,24.427999,24.427999,24.461,24.424999,24.438,0.0
2008-02-26,USDRUB=X,24.235001,24.235001,24.459,24.216,24.433001,0.0
2008-02-27,USDRUB=X,24.097,24.097,24.242001000000002,24.08,24.236,0.0
2008-02-28,USDRUB=X,23.993999,23.993999,24.118,23.966,24.098,0.0
2008-02-29,USDRUB=X,24.011,24.011,24.033001000000002,23.981001000000003,24.004998999999998,0.0
